Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LU1HCA-V,147.735000,-,0.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
1,LU1HPW-V,147.655000,-,0.600000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
2,LU1HPW-V,146.220000,+,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
3,LU1HRA-V,147.765000,-,0.600000,Tone,118.8,88.5,023,NN,NFM,5.00,,,,,,
4,LU1HRA-V,146.295000,+,0.600000,Tone,118.8,88.5,023,NN,NFM,5.00,,,,,,
5,LU1HRA-U,438.100000,-,5.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
6,LU1HRA-V,147.600000,-,0.600000,Tone,118.8,88.5,023,NN,NFM,5.00,,,,,,
7,LU1HYW-V,144.730000,+,0.600000,Tone,136.5,88.5,023,NN,NFM,5.00,,,,,,
8,LU1HYW-V,147.690000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
9,LU2HT-V,144.865000,+,0.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
10,LU2HT-V,144.790000,+,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
11,LU3HAT-V,146.130000,+,0.600000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
12,LU3HAT-V,147.630000,-,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
13,LU3HAT-V,147.870000,-,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
14,LU3HL-V,146.190000,+,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
15,LU3HRQ-V,147.705000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
16,LU4HAW-V,144.610000,+,0.600000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
17,LU4HAW-V,144.820000,+,0.600000,Tone,136.5,88.5,023,NN,NFM,5.00,,,,,,
18,LU4HAW-V,147.960000,-,0.600000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
19,LU4HAW-U,438.200000,-,5.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
20,LU4HC-V,146.235000,+,0.600000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
21,LU4HE-U,438.050000,-,5.000000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
22,LU4HE-V,146.175000,+,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
23,LU5HR-V,146.115000,+,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
24,LU5HT-V,147.680000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
25,LU8HJ-V,144.835000,+,0.600000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
26,LU8HSY-V,147.785000,-,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
27,LU9HEA-V,147.825000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
28,LU9HM-V,144.640000,+,0.600000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
29,LUAHH-V,146.340000,+,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
30,LUAHH-V,146.160000,+,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
31,LUAHH-V,146.100000,+,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
32,LUAHH-V,146.010000,+,0.600000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
33,LUAHH-V,144.760000,+,0.600000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
34,LUAHH-V,144.670000,+,0.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
35,LUAHH-U,438.500000,-,5.000000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
36,LUAHH-V,146.370000,+,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
