Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LU1BBQ-V,147.165000,+,0.600000,Tone,141.3,88.5,023,NN,NFM,5.00,,,,,,
1,LU1BBQ-U,433.500000,+,5.000000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
2,LU1DB-V,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
3,LU1DB-V,147.000000,+,0.600000,Tone,141.3,88.5,023,NN,NFM,5.00,,,,,,
4,LU1DB-U,433.150000,+,5.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
5,LU1DCB-V,146.945000,-,0.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
6,LU1DDO-V,147.210000,+,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
7,LU1DI-V,146.970000,-,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
8,LU1DIZ-V,146.925000,-,0.600000,Tone,118.8,88.5,023,NN,NFM,5.00,,,,,,
9,LU1DSO-V,146.625000,-,0.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
10,LU1EEE-V,147.315000,+,0.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
11,LU1EEE-U,433.900000,+,5.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
12,LU1ELP-V,145.435000,-,0.600000,Tone,173.8,88.5,023,NN,NFM,5.00,,,,,,
13,LU1EQ-V,146.715000,-,0.600000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
14,LU1EY-V,146.790000,-,0.600000,Tone,77.0,88.5,023,NN,NFM,5.00,,,,,,
15,LU2DDC-V,146.655000,-,0.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
16,LU2DJ-V,145.450000,-,0.600000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
17,LU2DJ-U,434.050000,+,5.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
18,LU2EE-V,147.390000,+,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
19,LU3DC-V,147.285000,+,0.600000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
20,LU3DN-V,147.150000,+,0.600000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
21,LU3DY-U,434.100000,+,5.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
22,LU3DY-V,147.120000,+,0.600000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
23,LU3EEE-V,145.315000,-,0.600000,Tone,141.3,88.5,023,NN,NFM,5.00,,,,,,
24,LU3ERU-V,147.390000,+,0.600000,Tone,141.3,88.5,023,NN,NFM,5.00,,,,,,
25,LU4DQ-V,145.390000,-,0.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
26,LU4DQ-U,433.650000,+,5.000000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
27,LU4DQ-V,146.970000,-,0.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
28,LU4EET-V,146.700000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
29,LU4EFC-V,146.775000,-,0.600000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
30,LU4EV-V,145.420000,-,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
31,LU4EV-U,433.950000,+,5.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
32,LU5DA-U,434.600000,+,5.000000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
33,LU5DA-V,147.105000,+,0.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
34,LU5DVB-V,147.270000,+,0.600000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
35,LU5DVB-U,434.400000,+,5.000000,Tone,71.9,88.5,023,NN,NFM,5.00,,,,,,
36,LU6DG-V,147.060000,+,0.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
