Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LU1FC-U,434.800000,+,5.000000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
1,LU1FC-V,145.480000,-,0.600000,Tone,141.3,88.5,023,NN,NFM,5.00,,,,,,
2,LU1FC-V,147.120000,+,0.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
3,LU1FFF-V,145.225000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
4,LU1FFF-U,433.500000,+,5.000000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
5,LU1FFF-V,145.345000,-,0.600000,Tone,107.2,88.5,023,NN,NFM,5.00,,,,,,
6,LU1FMC-V,145.375000,-,0.600000,Tone,151.4,88.5,023,NN,NFM,5.00,,,,,,
7,LU3FV-V,146.880000,-,0.600000,Tone,127.3,88.5,023,NN,NFM,5.00,,,,,,
8,LU4FIO-V,147.015000,+,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,LU4FM-V,145.390000,-,0.600000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
10,LU4FM-U,434.650000,+,5.000000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
11,LU4FM-V,147.330000,+,0.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
12,LU6FE-V,147.390000,+,0.600000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
13,LU6FE-V,147.270000,+,0.600000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
14,LU6FE-U,434.050000,+,5.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,LU6FE-V,147.315000,+,0.600000,Tone,136.5,88.5,023,NN,NFM,5.00,,,,,,
16,LU7FM-V,146.685000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
17,LU7FS-V,146.670000,-,0.600000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
