CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;147,135000;DUP+;0,600000;5kHz;FM-N;LU1HCA;OFF;TONE;74,4Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
1;147,055000;DUP+;0,600000;5kHz;FM-N;LU1HPW;OFF;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
2;146,820000;DUP-;0,600000;5kHz;FM-N;LU1HPW;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
3;147,165000;DUP+;0,600000;5kHz;FM-N;LU1HRA;OFF;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
4;146,895000;DUP-;0,600000;5kHz;FM-N;LU1HRA;OFF;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
5;433,100000;DUP+;5,000000;5kHz;FM-N;LU1HRA;OFF;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
6;147,000000;DUP+;0,600000;5kHz;FM-N;LU1HRA;OFF;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
7;145,330000;DUP-;0,600000;5kHz;FM-N;LU1HYW;OFF;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
8;147,090000;DUP+;0,600000;5kHz;FM-N;LU1HYW;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
9;145,465000;DUP-;0,600000;5kHz;FM-N;LU2HT;OFF;TONE;131,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
10;145,390000;DUP-;0,600000;5kHz;FM-N;LU2HT;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
11;146,730000;DUP-;0,600000;5kHz;FM-N;LU3HAT;OFF;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
12;147,030000;DUP+;0,600000;5kHz;FM-N;LU3HAT;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
13;147,270000;DUP+;0,600000;5kHz;FM-N;LU3HAT;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
14;146,790000;DUP-;0,600000;5kHz;FM-N;LU3HL;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
15;147,105000;DUP+;0,600000;5kHz;FM-N;LU3HRQ;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
16;145,210000;DUP-;0,600000;5kHz;FM-N;LU4HAW;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
17;145,420000;DUP-;0,600000;5kHz;FM-N;LU4HAW;OFF;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
18;147,360000;DUP+;0,600000;5kHz;FM-N;LU4HAW;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
19;433,200000;DUP+;5,000000;5kHz;FM-N;LU4HAW;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
20;146,835000;DUP-;0,600000;5kHz;FM-N;LU4HC;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
21;433,050000;DUP+;5,000000;5kHz;FM-N;LU4HE;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
22;146,775000;DUP-;0,600000;5kHz;FM-N;LU4HE;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
23;146,715000;DUP-;0,600000;5kHz;FM-N;LU5HR;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
24;147,080000;DUP+;0,600000;5kHz;FM-N;LU5HT;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
25;145,435000;DUP-;0,600000;5kHz;FM-N;LU8HJ;OFF;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
26;147,185000;DUP+;0,600000;5kHz;FM-N;LU8HSY;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
27;147,225000;DUP+;0,600000;5kHz;FM-N;LU9HEA;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
28;145,240000;DUP-;0,600000;5kHz;FM-N;LU9HM;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
29;146,940000;DUP-;0,600000;5kHz;FM-N;LUAHH;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
30;146,760000;DUP-;0,600000;5kHz;FM-N;LUAHH;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
31;146,700000;DUP-;0,600000;5kHz;FM-N;LUAHH;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
32;146,610000;DUP-;0,600000;5kHz;FM-N;LUAHH;OFF;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
33;145,360000;DUP-;0,600000;5kHz;FM-N;LUAHH;OFF;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
34;145,270000;DUP-;0,600000;5kHz;FM-N;LUAHH;OFF;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
35;433,500000;DUP+;5,000000;5kHz;FM-N;LUAHH;OFF;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
36;146,970000;DUP-;0,600000;5kHz;FM-N;LUAHH;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
