CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;146,640000;DUP-;0,600000;5kHz;FM-N;LU1JGU;OFF;TONE;173,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
1;433,600000;DUP+;5,000000;5kHz;FM-N;LU1JGU;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
2;146,730000;DUP-;0,600000;5kHz;FM-N;LU1JT;OFF;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
3;146,880000;DUP-;0,600000;5kHz;FM-N;LU1JVY;OFF;TONE;131,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
4;145,465000;DUP-;0,600000;5kHz;FM-N;LU2JP;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
5;146,925000;DUP-;0,600000;5kHz;FM-N;LU2JP;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
6;147,150000;DUP+;0,600000;5kHz;FM-N;LU2JP;OFF;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
7;147,240000;DUP+;0,600000;5kHz;FM-N;LU2JS;OFF;TONE;141,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
8;434,550000;DUP+;5,000000;5kHz;FM-N;LU2JS;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
9;146,745000;DUP-;0,600000;5kHz;FM-N;LU2JS;OFF;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
10;146,655000;DUP-;0,600000;5kHz;FM-N;LU5JTF;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
11;147,345000;DUP+;0,600000;5kHz;FM-N;LU5JU;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
12;146,895000;DUP-;0,600000;5kHz;FM-N;LU9JMG;OFF;TONE;218,1Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
13;147,030000;DUP+;0,600000;5kHz;FM-N;LUAJJ;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
