CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;147,765000;DUP-;0,600000;5kHz;FM;LU1BBQ;OFF;TONE;141,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
1;438,500000;DUP-;5,000000;5kHz;FM;LU1BBQ;OFF;TONE;114,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
2;144,670000;DUP+;0,600000;5kHz;FM;LU1DB;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
3;147,600000;DUP-;0,600000;5kHz;FM;LU1DB;OFF;TONE;141,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
4;438,150000;DUP-;5,000000;5kHz;FM;LU1DB;OFF;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
5;146,345000;DUP+;0,600000;5kHz;FM;LU1DCB;OFF;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
6;147,810000;DUP-;0,600000;5kHz;FM;LU1DDO;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
7;146,370000;DUP+;0,600000;5kHz;FM;LU1DI;OFF;TONE;114,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
8;146,325000;DUP+;0,600000;5kHz;FM;LU1DIZ;OFF;TONE;118,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
9;146,025000;DUP+;0,600000;5kHz;FM;LU1DSO;OFF;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
10;147,915000;DUP-;0,600000;5kHz;FM;LU1EEE;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
11;438,900000;DUP-;5,000000;5kHz;FM;LU1EEE;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
12;144,835000;DUP+;0,600000;5kHz;FM;LU1ELP;OFF;TONE;173,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
13;146,115000;DUP+;0,600000;5kHz;FM;LU1EQ;OFF;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
14;146,190000;DUP+;0,600000;5kHz;FM;LU1EY;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
15;146,055000;DUP+;0,600000;5kHz;FM;LU2DDC;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
16;144,850000;DUP+;0,600000;5kHz;FM;LU2DJ;OFF;TONE;71,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
17;439,050000;DUP-;5,000000;5kHz;FM;LU2DJ;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
18;147,990000;DUP-;0,600000;5kHz;FM;LU2EE;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
19;147,885000;DUP-;0,600000;5kHz;FM;LU3DC;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
20;147,750000;DUP-;0,600000;5kHz;FM;LU3DN;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
21;439,100000;DUP-;5,000000;5kHz;FM;LU3DY;OFF;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
22;147,720000;DUP-;0,600000;5kHz;FM;LU3DY;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
23;144,715000;DUP+;0,600000;5kHz;FM;LU3EEE;OFF;TONE;141,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
24;147,990000;DUP-;0,600000;5kHz;FM;LU3ERU;OFF;TONE;141,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
25;144,790000;DUP+;0,600000;5kHz;FM;LU4DQ;OFF;TONE;131,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
