CH No;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;434,800000;DUP+;5,000000;5kHz;FM-N;LU1FC;OFF;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
1;145,480000;DUP-;0,600000;5kHz;FM-N;LU1FC;OFF;TONE;141,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
2;147,120000;DUP+;0,600000;5kHz;FM-N;LU1FC;OFF;TONE;114,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
3;145,225000;DUP-;0,600000;5kHz;FM-N;LU1FFF;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
4;433,500000;DUP+;5,000000;5kHz;FM-N;LU1FFF;OFF;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
5;145,345000;DUP-;0,600000;5kHz;FM-N;LU1FFF;OFF;TONE;107,2Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
6;145,375000;DUP-;0,600000;5kHz;FM-N;LU1FMC;OFF;TONE;151,4Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
7;146,880000;DUP-;0,600000;5kHz;FM-N;LU3FV;OFF;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
8;147,015000;DUP+;0,600000;5kHz;FM-N;LU4FIO;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
9;145,390000;DUP-;0,600000;5kHz;FM-N;LU4FM;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
10;434,650000;DUP+;5,000000;5kHz;FM-N;LU4FM;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
11;147,330000;DUP+;0,600000;5kHz;FM-N;LU4FM;OFF;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
12;147,390000;DUP+;0,600000;5kHz;FM-N;LU6FE;OFF;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
13;147,270000;DUP+;0,600000;5kHz;FM-N;LU6FE;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
14;434,050000;DUP+;5,000000;5kHz;FM-N;LU6FE;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
15;147,315000;DUP+;0,600000;5kHz;FM-N;LU6FE;OFF;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
16;146,685000;DUP-;0,600000;5kHz;FM-N;LU7FM;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
17;146,670000;DUP-;0,600000;5kHz;FM-N;LU7FS;OFF;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;LU9ABM;;
